decade,song,artist,appearances,avg_rank,peak,score,link
1970s,Baby Come Back,Player,32,40.46875,1,1937,https://www.youtube.com/watch?v=UQitKj14y7M&list=RDUQitKj14y7M&start_radio=1
1970s,Love Machine (Part 1),The Miracles,28,33.21428571,1,1898,https://www.youtube.com/watch?v=513jP1SUgnQ&list=RD513jP1SUgnQ&start_radio=1
1970s,Sad Eyes,Robert John,27,30.81481481,1,1895,https://www.youtube.com/watch?v=FOdll2_zB1Y&list=RDFOdll2_zB1Y&start_radio=1
1970s,I Like Dreamin',Kenny Nolan,27,30.85185185,3,1894,https://www.youtube.com/watch?v=ELP_U55QrZ8&list=RDELP_U55QrZ8&start_radio=1
1970s,Love Is Alive,Gary Wright,27,31.7037037,2,1871,https://www.youtube.com/watch?v=wM6y_KBwAps&list=RDwM6y_KBwAps&start_radio=1
1970s,Shadow Dancing,Andy Gibb,25,26.6,1,1860,https://www.youtube.com/watch?v=7j_yGYU_jUU&list=RD7j_yGYU_jUU&start_radio=1
1970s,"Evergreen (Love Theme From ""A Star Is Born"")",Barbra Streisand,25,26.64,1,1859,https://www.youtube.com/watch?v=gbMLglEYSh8&list=RDgbMLglEYSh8&start_radio=1
1980s,Gloria,Laura Branigan,36,36.36111111,2,2327,https://www.youtube.com/watch?v=ZXx0pWpszKg&list=RDZXx0pWpszKg&start_radio=1
1980s,Jessie's Girl,Rick Springfield,32,28.90625,1,2307,https://www.youtube.com/watch?v=4ejfFIj5rrA&list=RD4ejfFIj5rrA&start_radio=1
1980s,Another One Bites The Dust,Queen,31,29.77419355,1,2208,https://www.youtube.com/watch?v=JFXSGEGUoLw&list=RDJFXSGEGUoLw&start_radio=1
1980s,Hurts So Good,John Cougar,28,23.67857143,2,2165,https://www.youtube.com/watch?v=d99gJTJjcxI&list=RDd99gJTJjcxI&start_radio=1
1980s,Red Red Wine,UB40,40,47.525,1,2139,https://www.youtube.com/watch?v=UidFA-dP8GQ&list=RDUidFA-dP8GQ&start_radio=1
1980s,Physical,Olivia Newton-John,26,18.96153846,1,2133,https://www.youtube.com/watch?v=VM7TpVWvJqM&list=RDVM7TpVWvJqM&start_radio=1
1980s,Celebration,Kool & The Gang,30,30.06666667,1,2128,https://www.youtube.com/watch?v=1Qu6Dyn-c6M&list=RD1Qu6Dyn-c6M&start_radio=1
1980s,Into The Night,Benny Mardones,37,43.81081081,11,2116,https://www.youtube.com/watch?v=-9URZgAqeqo&list=RD-9URZgAqeqo&start_radio=1
1980s,What About Me,Moving Pictures,43,53.74418605,29,2032,https://www.youtube.com/watch?v=cd6Gnxde7NE&list=RDcd6Gnxde7NE&start_radio=1
1980s,Don't You Want Me,The Human League,28,28.5,1,2030,https://www.youtube.com/watch?v=6EhG9giKZvo&list=RD6EhG9giKZvo&start_radio=1
1980s,Flashdance...What A Feeling,Irene Cara,25,20,1,2025,https://www.youtube.com/watch?v=A64KVUfo4ew&list=RDA64KVUfo4ew&start_radio=1
1980s,I'm So Excited,The Pointer Sisters,40,50.45,9,2022,https://www.youtube.com/watch?v=x3q9TcM2iFA&list=RDx3q9TcM2iFA&start_radio=1
1980s,"Baby, Come To Me",Patti Austin A Duet With James Ingram,32,38.65625,1,1995,https://www.youtube.com/watch?v=fbPb9_KkI9I&list=RDfbPb9_KkI9I&start_radio=1
