date,tempo,loudness,key,mode,count
2009-09-12,86.499,-11.323,3.0,1.0,1
2009-10-03,86.499,-11.323,3.0,1.0,1
2009-10-10,168.02,-3.426,2.0,1.0,1
2009-10-17,168.02,-3.426,2.0,1.0,1
2009-11-28,131.999,-6.278,1.0,1.0,1
2009-12-05,131.999,-6.278,1.0,1.0,1
2009-12-12,131.999,-6.278,1.0,1.0,1
2009-12-19,131.999,-6.278,1.0,1.0,1
2009-12-26,131.999,-6.278,1.0,1.0,1
2010-01-09,131.999,-6.278,1.0,1.0,1
2010-01-16,131.999,-6.278,1.0,1.0,1
2010-01-23,131.999,-6.278,1.0,1.0,1
2010-02-06,131.999,-6.278,1.0,1.0,1
2010-03-13,95.998,-4.328,11.0,1.0,1
2010-03-20,95.998,-4.328,11.0,1.0,1
2010-03-27,95.998,-4.328,11.0,1.0,1
2010-04-03,95.998,-4.328,11.0,1.0,1
2010-04-10,95.998,-4.328,11.0,1.0,1
2010-04-17,95.998,-4.328,11.0,1.0,1
2010-05-08,95.998,-4.328,11.0,1.0,1
2010-05-15,95.998,-4.328,11.0,1.0,1
2010-05-22,95.998,-4.328,11.0,1.0,1
2010-05-29,95.998,-4.328,11.0,1.0,1
2010-06-05,95.998,-4.328,11.0,1.0,1
2011-07-16,139.99,-3.924,8.0,1.0,1
2016-01-30,137.068,-12.679,0.0,1.0,1
2007-12-01,162.329,-8.652,7.0,1.0,1
2007-11-24,162.329,-8.652,7.0,1.0,1
2007-11-17,162.329,-8.652,7.0,1.0,1
2007-11-10,162.329,-8.652,7.0,1.0,1
2003-02-22,139.99,-3.924,8.0,1.0,1
2003-03-01,139.99,-3.924,8.0,1.0,1
2003-03-08,139.99,-3.924,8.0,1.0,1
2003-03-15,139.99,-3.924,8.0,1.0,1
2003-03-22,139.99,-3.924,8.0,1.0,1
2003-03-29,139.99,-3.924,8.0,1.0,1
2003-04-05,139.99,-3.924,8.0,1.0,1
2003-04-12,139.99,-3.924,8.0,1.0,1
2003-04-19,139.99,-3.924,8.0,1.0,1
2003-04-26,139.99,-3.924,8.0,1.0,1
2003-05-31,93.95,-5.229,5.0,0.0,1
2003-06-07,93.95,-5.229,5.0,0.0,1
2003-06-14,93.95,-5.229,5.0,0.0,1
1998-03-07,135.111,-10.616,5.0,1.0,1
2003-06-21,93.95,-5.229,5.0,0.0,1
2003-07-05,93.95,-5.229,5.0,0.0,1
2003-07-12,93.95,-5.229,5.0,0.0,1
2003-07-19,93.95,-5.229,5.0,0.0,1
2003-07-26,93.95,-5.229,5.0,0.0,1
2003-08-02,93.95,-5.229,5.0,0.0,1
2003-08-09,93.95,-5.229,5.0,0.0,1
2003-08-16,93.95,-5.229,5.0,0.0,1
2003-08-23,149.917,-4.757,1.0,0.0,1
2007-09-01,124.517,-6.805,0.0,1.0,1
2007-09-08,124.517,-6.805,0.0,1.0,1
2007-09-15,124.517,-6.805,0.0,1.0,1
2007-09-22,124.517,-6.805,0.0,1.0,1
2007-11-03,162.329,-8.652,7.0,1.0,1
2003-06-28,93.95,-5.229,5.0,0.0,1
1998-02-28,135.111,-10.616,5.0,1.0,1
1998-02-21,135.111,-10.616,5.0,1.0,1
1997-09-06,109.154,-12.806,1.0,1.0,1
1989-06-17,122.838,-5.454,6.0,1.0,1
1989-06-24,122.838,-5.454,6.0,1.0,1
1989-07-01,122.838,-5.454,6.0,1.0,1
1989-07-08,122.838,-5.454,6.0,1.0,1
1989-07-15,122.838,-5.454,6.0,1.0,1
1989-07-22,122.838,-5.454,6.0,1.0,1
1989-07-29,122.838,-5.454,6.0,1.0,1
1989-08-05,122.838,-5.454,6.0,1.0,1
1989-08-12,128.137,-11.881,7.0,1.0,1
1989-08-19,128.137,-11.881,7.0,1.0,1
2021-01-02,92.98,-9.647,5.0,1.0,1
1989-09-02,128.137,-11.881,7.0,1.0,1
1989-09-09,128.137,-11.881,7.0,1.0,1
1989-09-16,128.137,-11.881,7.0,1.0,1
1989-09-23,128.137,-11.881,7.0,1.0,1
1989-09-30,128.137,-11.881,7.0,1.0,1
1989-11-04,125.783,-7.356,7.0,1.0,1
1989-11-11,125.783,-7.356,7.0,1.0,1
1989-11-18,125.783,-7.356,7.0,1.0,1
1990-02-10,115.106,-6.658,5.0,0.0,1
1990-02-17,115.106,-6.658,5.0,0.0,1
1990-02-24,115.106,-6.658,5.0,0.0,1
1990-03-03,115.106,-6.658,5.0,0.0,1
1990-06-02,70.876,-4.82,5.0,1.0,1
1990-06-09,70.876,-4.82,5.0,1.0,1
1990-06-16,70.876,-4.82,5.0,1.0,1
1990-06-23,70.876,-4.82,5.0,1.0,1
1989-06-10,122.838,-5.454,6.0,1.0,1
1989-06-03,122.838,-5.454,6.0,1.0,1
1989-05-27,122.838,-5.454,6.0,1.0,1
1989-05-20,122.838,-5.454,6.0,1.0,1
1988-10-01,134.188,-3.891,6.0,1.0,1
1988-10-08,134.188,-3.891,6.0,1.0,1
1988-10-15,134.188,-3.891,6.0,1.0,1
1988-10-22,134.188,-3.891,6.0,1.0,1
1988-10-29,134.188,-3.891,6.0,1.0,1
1988-11-05,134.188,-3.891,6.0,1.0,1
1988-11-12,134.188,-3.891,6.0,1.0,1
1988-12-10,155.843,-2.689,7.0,1.0,1
1988-12-17,155.843,-2.689,7.0,1.0,1
1988-12-24,155.843,-2.689,7.0,1.0,1
1988-12-31,155.843,-2.689,7.0,1.0,1
