duration,tempo,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,chroma_mean,chroma_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,num_segments,avg_segment_length,segment_length_std,num_structured_sections,structure_ratio,unique_sections,label_entropy,song,decade,lufs_x,rms_db,crest_db_x,lufs_y,crest_db_y,lufs,crest_db
154.041179138322,79.50721153846153,0.12985498,3183.658776248343,3629.841090569887,7202.027995527639,0.0677488118452784,0.43961352,0.29629427,-130.6261,62.28973,135.44922,20.071949,-33.12523,19.013348,40.407784,12.617618,-18.620985,12.459698,33.500988,9.252905,-25.24161,9.144454,13.952717,9.891561,-9.576195,8.283364,7.7269287,9.304992,-9.437981,7.078244,3.8762217,8.772778,2.8688896,7.4867635,7,22.005882734046,12.118679154252067,1,0.1428571428571428,1,0.4010507031510862,NA-Hank Ballard & The Midnighters - Finger Poppin Time.mp3.mp3,1960,-16.739669276993837,-17.103579,15.768249034881592,-16.739669276993837,15.768249034881592,-16.739669276993837,15.768249034881592
166.74249433106576,123.046875,0.10393591,2783.804962223932,3042.246271643569,6132.006490880431,0.0643142522779885,0.4444694,0.29099038,-177.4356,89.79645,146.3697,32.509212,-33.283325,19.894077,68.474976,19.068262,-25.318806,15.824439,20.174604,10.405616,-4.605558,10.245726,9.916345,11.319208,1.1961458,9.57764,-1.498044,8.208024,1.8469698,8.4761715,-6.345617,7.840169,2.2689962,7.169389,9,18.526943814562863,11.575790791741143,2,0.2222222222222222,1,0.4822055558760694,"NA-Sugar, Sugar.mp3.mp3",1960,-18.851802757215513,-18.897484,17.49202609062195,-18.851802757215513,17.49202609062195,-18.851802757215513,17.49202609062195
141.20054421768708,139.6748310810811,0.06972091,3354.6843173242996,2829.627774599053,6677.243933959549,0.101253344865062,0.4226826,0.29164603,-212.74838,106.206436,144.68477,35.72572,-83.439316,24.554386,82.63761,25.324034,-26.780378,15.8890295,26.862226,12.981405,-10.608186,9.448406,-7.3979025,8.700869,10.347468,8.45978,-19.730135,8.585345,15.662614,9.068733,-14.525351,8.599368,7.0435915,7.028069,11,12.836413110698826,9.445682950258943,2,0.1818181818181818,1,0.4471693852067813,Tossin'and Turnin'-Bobby Lewis-original song-1961.mp3,1960,-21.46048225214024,-22.617374,15.659023523330688,-21.46048225214024,15.659023523330688,-21.460482252140242,15.659023523330688
161.56444444444443,103.359375,0.102305606,2252.177378245594,3074.282296507503,4396.551843911673,0.048917136247485,0.41735443,0.3067491,-256.28052,83.425644,137.04012,33.05687,11.399035,30.828228,50.04456,18.181965,-0.77607423,20.513458,24.116968,11.723799,3.8585181,13.451115,22.948252,11.965891,-1.2233218,10.903226,-2.2792466,10.1795845,-11.656603,15.207375,-4.7697754,10.647456,-5.9127135,10.080054,8,20.19555555555555,9.731306459550025,1,0.125,1,0.375,NA-I'm Sorry.mp3.mp3,1960,-18.52384514722011,-18.586906,17.212045192718506,-18.52384514722011,17.212045192718506,-18.52384514722011,17.212045192718506
144.7764172335601,156.60511363636363,0.10337075,1821.6412969472528,2337.173196591748,3416.2907633209047,0.0435322056546187,0.38972974,0.29974332,-206.37556,67.7351,172.46394,28.877022,-22.715355,26.067482,25.370409,21.043922,-4.7147136,13.718415,14.861148,13.040069,-1.5358891,10.076492,-4.293768,9.310436,-1.0895065,8.46115,1.2257847,7.383982,2.2561274,7.1679993,-4.3006725,7.486113,1.1605016,7.2828665,11,13.161492475778193,7.47305378046116,2,0.1818181818181818,1,0.4471693852067813,"Louis Armstrong - Hello, Dolly! (Audio).mp3",1960,-18.320626176761195,-18.453081,17.288169860839844,-18.320626176761195,17.288169860839844,-18.320626176761195,17.288169860839844
156.54893424036285,78.30255681818181,0.19693787,3786.0815744550937,3601.630231769525,7718.100406701891,0.0973205181683351,0.491656,0.28687888,-84.77651,89.09957,119.965965,24.863544,-38.986828,18.263485,74.13536,18.576715,-29.589373,14.340645,39.156776,12.092856,-13.632087,10.267125,17.394035,9.397405,-10.119659,8.433483,13.8888855,7.0479198,-11.187166,7.634188,5.4545293,7.7576585,3.1954253,7.11245,11,14.231721294578438,6.228501887826531,1,0.0909090909090909,1,0.3144937835124816,Chubby Checker - The Twist (Official Music Video).mp3,1960,-13.162033275722688,-13.599864,13.987128734588625,-13.162033275722688,13.987128734588625,-13.162033275722687,13.987128734588623
144.5209977324263,178.20581896551724,0.17955509,2653.8271023511547,2623.2998861011647,5322.286867921118,0.0713112624507992,0.4449719,0.29887387,-148.81323,86.07327,146.38353,34.520252,-47.384747,21.749601,59.489296,23.882366,-3.4487176,20.191442,19.46058,14.588742,5.940861,12.272295,3.2813838,9.608836,7.299408,9.683993,-1.2701632,9.564696,-2.8117974,10.010317,2.2174432,8.213177,5.104038,8.381404,10,14.452099773242631,7.18786588711473,1,0.1,1,0.3321928094887362,NA-Limbo Rock.mp3.mp3,1960,-13.837841124532662,-14.02123,14.4163179397583,-13.837841124532662,14.4163179397583,-13.837841124532662,14.4163179397583
195.5352380952381,84.72079918032787,0.17325038,1658.003980223266,2325.053504535377,3344.918399079922,0.0302534922705278,0.4516918,0.30372676,-180.61726,69.07792,167.3306,28.491901,-15.179522,25.508097,41.0332,18.498392,0.19277966,14.651161,18.151464,14.07061,4.233622,11.670559,3.1008182,10.394762,4.9727416,9.104015,-1.8502705,8.471931,-0.2592875,9.768294,-4.5937543,8.595637,1.9672474,10.429611,10,19.55352380952381,11.944117389739928,2,0.2,1,0.4643856189774724,NA-Elvis Presley - It's Now or Never (Official Audio).mp3.mp3,1960,-15.445009004135828,-14.477353,13.834353685379028,-15.445009004135828,13.834353685379028,-15.445009004135827,13.834353685379028
142.05968253968254,79.50721153846153,0.123763815,1027.2262299043027,1643.7923354622717,1724.6288511851862,0.0236211690850494,0.3760262,0.30692557,-271.1755,61.426247,209.27916,28.337679,2.7339916,34.895844,17.746058,18.159128,19.316532,13.8241005,12.623577,13.093766,-5.98141,12.012701,1.6076537,9.26702,4.534988,9.696233,-3.6240602,10.626693,-10.122465,11.000824,-5.9437003,9.920072,2.6363757,8.700938,4,35.514920634920635,28.51931083224314,1,0.25,1,0.5,Jim Reeves  -  He'll Have To Go.mp3,1960,-18.167110611322663,-17.58326,14.221702814102173,-18.167110611322663,14.221702814102173,-18.167110611322663,14.221702814102173
166.11555555555557,161.4990234375,0.17391664,2310.3564302445475,2349.430954029486,4546.5863308822245,0.066439555087707,0.47152957,0.280421,-127.43381,97.26601,174.93225,45.103916,-64.885086,20.147694,36.186066,21.256811,-20.326653,18.433262,16.186783,13.4377165,1.6387134,9.868094,6.982523,9.245056,7.088564,8.7053175,3.2258492,7.6365457,4.96249,6.7935433,-1.7815087,6.094283,3.0810823,5.877283,13,12.778119658119657,5.340973069950033,1,0.0769230769230769,1,0.2846492090877763,Wipe Out.mp3,1960,-13.95662422359811,-14.460111,14.688990116119385,-13.95662422359811,14.688990116119385,-13.95662422359811,14.688990116119385
144.89251700680273,93.9630681818182,0.09118148,1801.4628654763444,2109.454828400471,3519.1475261146943,0.0547055743480089,0.35134733,0.2903853,-229.60248,61.402584,178.42847,25.528048,-33.224457,21.883553,36.481567,17.86129,1.0880328,11.888121,1.6046357,7.975274,2.3733609,8.9553175,-1.9900831,9.883598,6.1022944,10.366925,-0.6422318,10.21303,0.12052466,9.1394825,-3.2881844,9.676869,-1.2140194,10.7626,6,24.14875283446712,11.530260441830526,1,0.1666666666666666,1,0.430827083453526,NA-The Theme from ＂A Summer Place＂.mp3.mp3,1960,-20.11626617220715,-20.161976,16.623880863189697,-20.11626617220715,16.623880863189697,-20.11626617220715,16.623880863189697
425.66820861678,147.65625,0.15101916,3259.5013052476147,3294.736665514503,6962.014924240164,0.0791665246147552,0.4731701,0.28289127,-128.226,83.57307,130.45592,27.975164,-41.07906,19.886213,49.29921,18.994894,-19.3095,16.61012,32.27041,15.237371,-12.409747,10.873737,12.930099,12.92017,8.176234,9.644061,-0.88699234,10.448044,-3.4701934,8.774449,5.715092,8.417661,-3.0690236,7.873448,22,19.34855493712636,9.653192191345417,1,0.0454545454545454,1,0.2027014372107862,NA-Hey Jude (Remastered 2015).mp3.mp3,1960,-15.246654446381044,-15.61273,19.905426502227783,-15.246654446381044,19.905426502227783,-15.246654446381045,19.905426502227783
176.79673469387754,97.50884433962264,0.074884415,1693.4287947694943,1792.6809452232776,3059.1189064398104,0.0536176353503184,0.33376393,0.29008186,-262.60358,99.658394,187.22556,37.951344,-20.619677,35.73428,10.710881,24.887442,1.2716591,15.53641,-0.64914536,11.874272,-12.252924,10.510862,-0.26281953,9.017974,-6.5480857,8.079816,-7.5254273,8.761892,3.0848093,8.242753,-0.3309905,7.809017,-3.3192239,8.994617,9,19.64408163265306,11.350164650542208,1,0.1111111111111111,1,0.3522138890491458,NA-Exodus.mp3.mp3,1960,-20.51118572094432,-21.183138,21.479856967926025,-20.51118572094432,21.479856967926025,-20.511185720944322,21.479856967926025
118.14312925170069,72.78829225352112,0.19634567,1683.4477583866806,1985.0335674493908,3510.153318489302,0.0371923784943991,0.315757,0.3084689,-165.82,73.611176,179.50873,36.601162,-44.01183,20.204382,38.52538,18.8824,0.2646024,17.668068,-9.1033945,13.308021,2.4601638,11.484311,1.2399807,9.887427,0.02377009,9.1893215,-6.794546,9.330335,-0.50493807,8.727345,-4.4560714,9.2441225,-7.8412714,8.041834,7,16.877589893100097,9.606051246619597,1,0.1428571428571428,1,0.4010507031510862,NA-Sixteen Reasons.mp3.mp3,1960,-13.83547553261774,-13.585052,13.214348554611206,-13.83547553261774,13.214348554611206,-13.835475532617739,13.214348554611206
148.86312925170068,103.359375,0.12768385,2374.2243838245668,3177.050734617508,4794.272041692661,0.0528911824699758,0.3683422,0.29988623,-197.78912,86.03313,146.52798,34.1603,-6.47004,24.55774,26.692211,19.969019,-4.880496,13.105548,17.508308,12.570972,-15.774602,10.917993,8.978416,10.257792,-11.528087,9.495866,0.49843717,10.878283,-6.619686,10.021045,-0.8706747,10.544884,-2.3815322,11.152728,8,18.607891156462586,13.78478836983429,2,0.25,1,0.5,NA-Last Date (Remastered).mp3.mp3,1960,-17.11777941039314,-16.931776,16.35995388031006,-17.11777941039314,16.35995388031006,-17.11777941039314,16.35995388031006
